record_id,date,traffic_source,page_url,sessions,users,bounce_rate,session_duration,pages_per_session,conversions,goal_completions
11906,2026-03-11,Paid Search,/checkout,2,2,0.2992,154.2,3.14,0.0,0
11735,2026-03-07,Direct,/blog/summer-sale-guide,2,2,0.4301,266.4,2.96,0.0,0
13678,2026-04-15,Direct,/checkout,8,7,0.1913,292.0,3.35,1.0,1
17336,2026-06-28,Referral,/product/backpacks,5,5,0.3709,194.7,2.98,,0
14995,2026-05-12,Referral,/home,20,18,0.3573,223.6,2.37,0.0,0
17648,2026-07-04,Social,/blog/summer-sale-guide,10,10,0.6157,86.0,,0.0,0
16246,2026-06-06,Referral,/blog/summer-sale-guide,5,4,0.5434,213.6,1.82,0.0,0
13179,2026-04-05,Direct,/checkout,3,3,0.2302,274.3,3.37,0.0,0
10114,2026-02-03,Paid Search,/product/backpacks,6,6,0.4631,125.3,1.89,0.0,0
13404,2026-04-10,Referral,/blog/how-to-choose-running-shoes,12,11,0.4857,215.5,3.13,1.0,2
18049,2026-07-12,Social,/contact,8,7,0.7525,10.0,1.0,,0
11565,2026-03-04,Referral,/blog/how-to-choose-running-shoes,6,5,0.6381,,2.18,,0
17590,2026-07-03,Referral,/contact,4,3,0.6414,145.0,2.02,0.0,0
11846,2026-03-10,Organic Search,/checkout,8,7,0.2686,217.7,2.8,0.0,0
17520,2026-07-02,Organic Search,/contact,11,10,0.5665,82.7,2.44,1.0,1
13276,2026-04-07,Direct,/about-us,5,4,0.4505,167.9,3.01,0.0,0
13429,2026-04-10,Direct,/checkout,3,3,0.2294,254.7,3.49,1.0,1
13234,2026-04-07,Organic Search,/blog/how-to-choose-running-shoes,35,33,0.5652,249.2,1.49,0.0,0
15091,2026-05-14,Paid Search,/about-us,12,10,0.5285,122.2,2.65,2.0,2
14230,2026-04-27,Organic Search,/product/winter-jackets,21,19,0.4134,210.2,2.83,0.0,1
14609,2026-05-04,Social,/product/running-shoes,15,13,0.4947,193.9,,0.0,0
14586,2026-05-04,Organic Search,/pricing,12,11,0.3178,186.1,,1.0,1
12967,2026-04-01,Social,/blog/summer-sale-guide,5,5,0.7786,108.5,1.0,0.0,0
18270,2026-07-17,Organic Search,/pricing,18,16,0.2972,224.3,2.48,0.0,1
12297,2026-03-19,Paid Search,/product/winter-jackets,16,14,0.5162,177.8,1.71,0.0,0
11835,2026-03-09,Direct,/pricing,4,3,0.2212,254.4,3.21,0.0,0
13987,2026-04-22,Organic Search,/pricing,14,13,0.3849,252.4,2.38,2.0,2
12228,2026-03-17,Direct,/product/backpacks,7,6,0.3338,292.1,3.14,0.0,0
11463,2026-03-02,Referral,/product/winter-jackets,13,11,0.3628,263.3,1.91,0.0,0
16650,2026-06-14,Social,/product/winter-jackets,10,9,0.5598,64.0,1.81,0.0,0
11615,2026-03-05,Referral,/blog/how-to-choose-running-shoes,10,9,0.5625,278.6,1.62,0.0,0
11329,2026-02-27,Social,/contact,6,6,0.7373,10.0,1.45,0.0,0
18339,2026-07-18,Referral,/pricing,7,6,0.3142,252.7,2.51,1.0,1
16222,2026-06-06,Organic Search,/product/running-shoes,29,25,0.3924,255.5,3.12,2.0,2
11076,2026-02-22,Social,/blog/how-to-choose-running-shoes,4,3,0.6903,104.2,1.33,0.0,0
12639,2026-03-26,Organic Search,/blog/summer-sale-guide,19,16,0.6852,170.2,1.5,0.0,0
10532,2026-02-11,Social,/blog/how-to-choose-running-shoes,16,13,0.7308,139.3,1.8,0.0,0
15791,2026-05-28,Paid Search,/contact,6,5,0.6654,74.8,1.44,0.0,0
12136,2026-03-16,Organic Search,/product/running-shoes,39,38,0.3098,213.8,2.89,3.0,5
13069,2026-04-03,Social,/contact,5,4,0.8199,67.7,1.0,0.0,0
12177,2026-03-16,Direct,/product/winter-jackets,12,11,0.3696,290.2,2.87,1.0,1
13776,2026-04-17,Direct,/contact,7,6,0.5269,159.9,,0.0,0
18899,2026-07-29,Direct,/home,26,24,0.2471,244.6,3.51,2.0,3
13649,2026-04-15,Referral,/home,19,17,0.3906,182.5,3.16,1.0,2
15810,2026-05-28,Social,/about-us,8,7,0.6367,88.3,1.8,0.0,0
17278,2026-06-27,Paid Search,/blog/how-to-choose-running-shoes,11,10,0.6727,276.6,1.46,1.0,1
17834,2026-07-08,Referral,/product/running-shoes,11,10,0.4468,255.1,2.22,0.0,1
13942,2026-04-21,Paid Search,/product/backpacks,6,6,0.5448,181.2,2.12,0.0,0
17632,2026-07-04,Paid Search,/checkout,6,5,0.2773,149.9,3.48,0.0,0
17445,2026-06-30,Social,/product/winter-jackets,10,9,0.6367,151.4,1.64,2.0,2
11051,2026-02-22,Organic Search,/checkout,7,6,0.2453,285.6,3.38,0.0,0
16250,2026-06-06,Social,/home,16,15,0.5362,90.3,2.13,0.0,0
12542,2026-03-24,Organic Search,/pricing,13,12,0.2729,168.0,3.27,0.0,0
13170,2026-04-05,Direct,/home,19,16,0.2544,239.5,3.51,0.0,0
13579,2026-04-14,Organic Search,/home,51,48,0.3327,126.5,3.35,1.0,1
17857,2026-07-08,Direct,/blog/how-to-choose-running-shoes,14,13,0.5201,254.0,2.18,0.0,0
12494,2026-03-23,Paid Search,/home,17,16,0.41,160.6,2.32,2.0,2
18126,2026-07-14,Paid Search,/blog/how-to-choose-running-shoes,16,14,0.5678,185.1,2.46,1.0,1
15193,2026-05-16,Paid Search,/pricing,3,3,0.4549,138.0,2.43,0.0,0
18438,2026-07-20,Referral,/pricing,6,5,0.3041,288.3,3.0,0.0,0
13052,2026-04-03,Referral,/home,20,19,0.3012,216.6,2.93,1.0,1
12984,2026-04-02,Organic Search,/product/winter-jackets,20,18,0.3997,210.1,2.74,3.0,4
11736,2026-03-07,Direct,/about-us,2,2,0.5112,167.7,2.15,0.0,0
16701,2026-06-15,Social,/product/backpacks,13,11,0.5981,105.6,1.69,2.0,2
15012,2026-05-12,Social,/contact,4,3,,,1.04,0.0,0
14358,2026-04-29,Social,/home,33,32,0.6754,129.9,1.01,0.0,0
11639,2026-03-05,Direct,/checkout,2,2,0.2295,252.5,4.26,0.0,0
12378,2026-03-20,Direct,/blog/how-to-choose-running-shoes,14,13,0.5665,265.4,1.63,1.0,1
15206,2026-05-16,Social,/product/running-shoes,9,8,0.5539,127.1,1.68,0.0,0
15209,2026-05-16,Social,/blog/how-to-choose-running-shoes,8,7,0.747,114.8,1.29,0.0,0
12590,2026-03-25,Organic Search,/about-us,13,11,0.5594,165.3,1.92,0.0,0
14514,2026-05-02,Social,/about-us,4,4,0.6231,108.6,1.64,0.0,0
15583,2026-05-24,Organic Search,/checkout,8,8,0.1804,279.4,3.41,0.0,0
17332,2026-06-28,Paid Search,/checkout,2,2,0.421,237.8,2.78,1.0,1
15238,2026-05-17,Paid Search,/product/backpacks,5,5,0.4704,158.0,2.11,,0
14103,2026-04-24,Referral,/blog/summer-sale-guide,5,5,0.5612,263.0,2.07,0.0,0
15493,2026-05-22,Paid Search,/checkout,8,8,0.3775,156.9,2.45,1.0,1
17847,2026-07-08,Social,/blog/how-to-choose-running-shoes,18,15,0.708,134.3,1.17,0.0,0
13750,2026-04-17,Referral,/product/running-shoes,12,10,0.3284,188.0,3.48,0.0,1
16531,2026-06-12,Paid Search,/product/backpacks,5,5,0.5031,147.2,2.65,0.0,0
14228,2026-04-27,Organic Search,/home,49,43,0.3341,194.6,3.0,3.0,6
12925,2026-03-31,Direct,/product/backpacks,5,4,0.4098,247.3,2.15,0.0,0
13334,2026-04-09,Organic Search,/blog/how-to-choose-running-shoes,41,34,0.658,223.1,1.04,2.0,3
12877,2026-03-30,Direct,/blog/summer-sale-guide,16,14,0.498,242.6,2.99,0.0,0
13483,2026-04-12,Organic Search,/blog/how-to-choose-running-shoes,32,27,0.602,245.3,1.9,1.0,3
16729,2026-06-16,Paid Search,/product/running-shoes,23,22,0.5167,142.3,1.86,0.0,2
11082,2026-02-22,Direct,/home,13,12,0.3592,213.1,2.87,0.0,0
14865,2026-05-09,Social,/pricing,5,5,0.4887,113.5,2.03,0.0,0
16981,2026-06-21,Paid Search,/blog/how-to-choose-running-shoes,13,11,0.6397,155.0,1.0,0.0,0
16508,2026-06-11,Direct,/home,18,17,0.2487,202.1,3.85,0.0,1
17729,2026-07-06,Paid Search,/about-us,7,6,0.5185,107.6,2.85,0.0,0
13112,2026-04-04,Social,/product/running-shoes,8,7,0.5852,146.9,2.06,0.0,0
10199,2026-02-04,Direct,/pricing,11,9,0.2784,255.3,3.14,2.0,2
10397,2026-02-08,Direct,/checkout,1,1,0.2175,270.5,3.6,0.0,0
17792,2026-07-07,Referral,/checkout,3,3,0.2093,273.0,3.47,1.0,2
17733,2026-07-06,Referral,/home,18,17,,201.2,2.52,2.0,2
15900,2026-05-30,Referral,/about-us,4,3,0.5037,217.6,2.55,0.0,0
18979,2026-07-31,Referral,/home,20,17,0.3545,212.9,2.49,1.0,1
10851,2026-02-18,Organic Search,/contact,17,16,0.5932,144.2,2.39,0.0,0
16033,2026-06-02,Paid Search,/product/running-shoes,29,25,0.431,215.2,2.63,4.0,5
13675,2026-04-15,Direct,/about-us,9,8,0.4282,149.7,2.58,0.0,1
15011,2026-05-12,Social,/about-us,3,3,0.6519,64.9,1.76,0.0,0
10772,2026-02-16,Referral,/pricing,3,3,0.2684,254.2,4.05,1.0,1
17416,2026-06-30,Organic Search,/product/backpacks,17,15,0.4533,186.3,2.68,1.0,1
14413,2026-04-30,Social,/blog/summer-sale-guide,13,11,0.8611,176.3,1.0,0.0,0
11441,2026-03-02,Organic Search,/home,60,54,0.2311,202.2,4.07,4.0,5
12226,2026-03-17,Direct,/product/running-shoes,10,8,0.2604,222.2,3.04,0.0,1
10147,2026-02-03,Direct,/about-us,4,3,0.4648,193.3,2.87,0.0,0
15717,2026-05-26,Direct,/product/backpacks,7,6,0.3348,269.3,2.93,2.0,2
12583,2026-03-24,Direct,/checkout,3,3,0.083,213.5,4.2,0.0,0
11624,2026-03-05,Social,/blog/how-to-choose-running-shoes,17,14,0.6471,206.5,1.03,0.0,0
15556,2026-05-23,Social,/product/winter-jackets,8,7,0.5592,95.3,2.09,0.0,1
18335,2026-07-18,Referral,/product/backpacks,4,4,0.3535,239.2,3.06,0.0,0
17676,2026-07-05,Paid Search,/product/backpacks,7,6,0.4882,111.8,2.5,0.0,0
10906,2026-02-19,Paid Search,/product/winter-jackets,8,7,0.489,153.6,2.41,0.0,0
18718,2026-07-26,Organic Search,/checkout,9,8,0.3293,196.3,2.55,2.0,3
18631,2026-07-24,Referral,/product/winter-jackets,9,8,0.3816,180.5,2.57,0.0,0
18082,2026-07-13,Referral,/home,19,17,0.3783,230.0,2.38,0.0,0
10296,2026-02-06,Direct,/blog/summer-sale-guide,8,7,0.5291,303.7,2.05,0.0,0
16837,2026-06-18,Referral,/home,15,13,0.3752,,2.9,0.0,0
11442,2026-03-02,Organic Search,/product/running-shoes,34,33,0.3797,213.0,2.78,3.0,4
10939,2026-02-19,Direct,/about-us,2,2,0.5123,215.3,2.75,0.0,0
14579,2026-05-04,Organic Search,/product/running-shoes,33,27,0.4192,266.7,1.75,2.0,3
15712,2026-05-26,Social,/pricing,7,7,0.5203,89.6,1.93,1.0,1
12517,2026-03-23,Social,/product/backpacks,7,6,0.5597,108.2,1.93,0.0,0
16707,2026-06-15,Social,/checkout,7,6,0.418,164.9,2.45,0.0,0
15828,2026-05-29,Organic Search,/blog/how-to-choose-running-shoes,36,32,0.5616,264.7,1.78,0.0,0
11062,2026-02-22,Referral,/home,4,3,0.3061,210.8,2.62,1.0,1
16852,2026-06-18,Social,/blog/summer-sale-guide,16,15,0.6986,66.1,1.0,0.0,0
15120,2026-05-14,Direct,/blog/summer-sale-guide,8,7,0.5148,242.6,2.3,0.0,1
14439,2026-05-01,Paid Search,/product/running-shoes,16,14,0.4803,185.4,1.65,1.0,1
16050,2026-06-02,Referral,/pricing,6,5,0.4408,198.5,2.28,0.0,1
16257,2026-06-06,Social,/contact,5,4,0.6635,34.6,2.16,0.0,0
10941,2026-02-19,Direct,/pricing,4,4,0.259,239.1,3.72,0.0,0
15783,2026-05-28,Organic Search,/checkout,13,11,0.2403,193.1,3.69,1.0,2
10522,2026-02-11,Referral,/blog/how-to-choose-running-shoes,5,5,0.5698,260.2,1.55,1.0,1
18357,2026-07-18,Direct,/about-us,1,1,0.4676,229.3,2.34,0.0,0
17479,2026-07-01,Paid Search,/about-us,8,7,0.6205,114.5,1.64,0.0,0
13351,2026-04-09,Referral,/product/running-shoes,22,20,0.4581,242.0,2.37,0.0,1
17272,2026-06-27,Organic Search,/pricing,14,12,0.3726,232.3,3.44,0.0,0
14445,2026-05-01,Paid Search,/contact,7,7,0.6504,65.7,1.86,0.0,0
10850,2026-02-18,Organic Search,/about-us,14,13,0.58,180.6,1.98,0.0,0
16253,2026-06-06,Social,/product/backpacks,6,5,0.7079,128.9,1.0,0.0,0
11983,2026-03-12,Direct,/contact,6,6,0.4968,163.2,2.24,0.0,0
17559,2026-07-02,Direct,/about-us,4,4,0.4215,201.5,2.69,0.0,0
18346,2026-07-18,Social,/blog/summer-sale-guide,10,9,0.7924,70.0,1.0,0.0,0
10507,2026-02-11,Organic Search,/checkout,10,8,0.2799,227.0,3.66,1.0,1
15854,2026-05-29,Social,/home,18,17,0.5674,116.3,2.72,1.0,1
10176,2026-02-04,Referral,/blog/summer-sale-guide,7,6,0.5959,236.1,1.85,0.0,0
16067,2026-06-02,Direct,/blog/summer-sale-guide,11,10,0.545,264.5,2.24,0.0,0
10478,2026-02-10,Social,/home,15,12,0.4972,109.4,2.17,0.0,0
15419,2026-05-20,Direct,/blog/summer-sale-guide,11,9,0.5189,281.3,2.38,0.0,0
12794,2026-03-29,Paid Search,/product/winter-jackets,12,11,0.5238,112.6,2.28,1.0,1
15514,2026-05-22,Direct,/home,13,11,0.2926,232.6,3.26,0.0,0
18528,2026-07-22,Paid Search,/pricing,7,6,0.4713,165.6,2.64,0.0,0
16435,2026-06-10,Paid Search,/about-us,13,11,0.5317,116.0,2.18,0.0,0
13401,2026-04-10,Referral,/product/running-shoes,9,7,0.3366,275.9,3.01,0.0,0
17279,2026-06-27,Paid Search,/blog/summer-sale-guide,12,11,0.6023,236.1,1.33,1.0,1
11125,2026-02-23,Social,/product/backpacks,11,9,0.602,71.1,1.81,0.0,0
14212,2026-04-26,Social,/blog/how-to-choose-running-shoes,8,7,0.7565,157.3,1.0,0.0,0
16636,2026-06-14,Paid Search,/pricing,5,4,0.3475,218.4,3.12,0.0,0
12749,2026-03-28,Paid Search,/about-us,3,3,0.5949,134.1,,0.0,0
10247,2026-02-05,Direct,/about-us,2,2,0.3773,175.5,3.61,1.0,1
14664,2026-05-05,Social,/about-us,5,4,0.7896,99.1,1.12,0.0,0
10116,2026-02-03,Paid Search,/blog/summer-sale-guide,12,11,0.5505,273.4,1.57,0.0,0
15789,2026-05-28,Paid Search,/blog/summer-sale-guide,17,15,0.6318,168.9,1.26,0.0,0
11049,2026-02-22,Organic Search,/contact,10,9,0.636,155.6,1.98,0.0,0
13967,2026-04-21,Social,/pricing,4,3,0.5452,169.0,2.33,0.0,0
11254,2026-02-26,Paid Search,/product/winter-jackets,8,7,0.5107,156.6,1.57,0.0,0
18247,2026-07-16,Social,/blog/summer-sale-guide,13,12,0.7801,116.0,1.0,0.0,1
16657,2026-06-14,Social,/checkout,6,6,0.4424,163.2,2.02,2.0,2
13202,2026-04-06,Referral,/product/winter-jackets,13,11,0.3977,227.7,2.53,2.0,2
18915,2026-07-30,Organic Search,/about-us,10,9,0.4615,188.9,,0.0,0
14568,2026-05-03,Direct,/home,15,14,0.2992,167.8,2.82,0.0,0
16890,2026-06-19,Referral,/product/backpacks,5,5,0.3895,191.7,,1.0,1
10025,2026-02-01,Referral,/blog/how-to-choose-running-shoes,8,8,0.5653,262.0,1.82,0.0,0
12592,2026-03-25,Organic Search,/pricing,17,16,0.3608,170.7,3.03,1.0,1
10204,2026-02-05,Organic Search,/product/backpacks,25,21,0.5034,251.1,1.75,1.0,3
15522,2026-05-22,Direct,/pricing,9,8,0.3543,238.6,3.4,1.0,2
15581,2026-05-24,Organic Search,/contact,4,3,0.5656,87.8,1.92,0.0,0
16821,2026-06-18,Organic Search,/blog/how-to-choose-running-shoes,36,34,0.4904,239.1,1.94,1.0,1
12326,2026-03-19,Direct,/product/winter-jackets,8,7,0.3058,184.8,3.03,2.0,3
18236,2026-07-16,Referral,/blog/how-to-choose-running-shoes,6,6,0.4882,226.4,2.67,1.0,1
13026,2026-04-02,Direct,/blog/how-to-choose-running-shoes,8,8,0.5329,267.2,2.88,0.0,0
14122,2026-04-24,Direct,/blog/how-to-choose-running-shoes,6,5,0.5848,222.6,1.38,0.0,0
15301,2026-05-18,Referral,/contact,7,7,0.5581,204.3,2.07,1.0,1
15467,2026-05-21,Direct,/product/backpacks,7,6,0.384,193.8,2.34,0.0,0
16708,2026-06-15,Direct,/home,23,21,0.3247,175.9,3.45,2.0,2
12667,2026-03-26,Social,/product/backpacks,12,11,0.5244,90.7,1.68,0.0,0
10955,2026-02-20,Paid Search,/product/winter-jackets,14,13,0.4817,248.2,2.94,2.0,2
10369,2026-02-08,Paid Search,/checkout,2,2,0.3566,188.0,3.32,0.0,0
11802,2026-03-09,Paid Search,/blog/how-to-choose-running-shoes,15,13,0.628,214.3,1.93,1.0,2
18638,2026-07-24,Referral,/checkout,4,4,0.2636,231.5,3.34,0.0,0
12374,2026-03-20,Direct,/home,22,19,0.3075,219.2,3.03,0.0,0
14226,2026-04-26,Direct,/pricing,1,1,0.3295,247.3,3.44,0.0,0
18337,2026-07-18,Referral,/blog/summer-sale-guide,9,8,0.5271,276.4,2.03,0.0,0
18822,2026-07-28,Paid Search,/product/backpacks,11,9,0.5001,187.4,2.65,2.0,2
10740,2026-02-15,Direct,/about-us,4,4,0.5317,175.2,2.25,0.0,0
11545,2026-03-04,Organic Search,/blog/how-to-choose-running-shoes,25,21,0.5285,227.6,2.53,3.0,3
14757,2026-05-07,Referral,/checkout,3,3,0.2235,170.0,3.72,0.0,0
14329,2026-04-29,Organic Search,/product/running-shoes,47,45,0.4268,232.3,2.57,2.0,2
15430,2026-05-21,Organic Search,/about-us,14,13,0.5126,182.7,2.42,0.0,1
17798,2026-07-07,Social,/blog/summer-sale-guide,5,4,0.7122,178.1,1.14,0.0,0
16676,2026-06-15,Organic Search,/pricing,15,13,0.3143,179.3,3.75,1.0,2
15512,2026-05-22,Social,/pricing,6,5,0.5083,147.5,2.28,0.0,0
16427,2026-06-10,Organic Search,/pricing,22,18,0.4003,181.2,2.37,2.0,2
15473,2026-05-21,Direct,/checkout,2,2,0.1837,232.8,3.34,0.0,0
15190,2026-05-16,Paid Search,/blog/summer-sale-guide,10,9,0.6791,150.3,1.0,0.0,0
14317,2026-04-28,Social,/checkout,5,4,0.5108,122.1,2.19,0.0,0
15409,2026-05-20,Social,/blog/summer-sale-guide,13,12,0.7435,152.0,1.76,1.0,1
14371,2026-04-29,Direct,/product/backpacks,2,2,0.3962,258.8,2.73,0.0,0
17557,2026-07-02,Direct,/blog/how-to-choose-running-shoes,18,15,0.6004,303.3,2.24,0.0,0
14654,2026-05-05,Referral,/about-us,5,4,0.5332,158.8,2.12,0.0,0
12685,2026-03-27,Organic Search,/product/running-shoes,39,37,0.3845,157.3,2.88,3.0,3
16520,2026-06-12,Organic Search,/product/winter-jackets,33,27,0.4202,230.4,2.88,4.0,4
17727,2026-07-06,Paid Search,/blog/how-to-choose-running-shoes,10,9,0.6443,237.8,1.97,0.0,1
11161,2026-02-24,Paid Search,/checkout,3,3,0.3757,207.4,2.82,0.0,0
11275,2026-02-26,Social,/product/backpacks,6,5,0.597,89.7,2.08,0.0,0
10589,2026-02-12,Direct,/product/running-shoes,13,12,0.2585,232.0,3.28,1.0,1
15847,2026-05-29,Referral,/product/backpacks,8,7,0.3355,188.0,2.3,1.0,1
13183,2026-04-06,Organic Search,/product/backpacks,12,11,0.4129,199.7,2.33,1.0,1
17350,2026-06-28,Social,/contact,4,4,,17.3,2.14,0.0,0
17578,2026-07-03,Paid Search,/blog/summer-sale-guide,15,14,0.5942,187.5,2.07,0.0,0
16879,2026-06-19,Paid Search,/product/winter-jackets,10,9,0.4721,98.0,2.54,1.0,1
16803,2026-06-17,Social,/about-us,11,10,0.5981,55.7,1.72,0.0,0
17962,2026-07-11,Organic Search,/home,39,37,0.343,239.4,3.2,2.0,3
10642,2026-02-13,Direct,/blog/how-to-choose-running-shoes,12,11,0.5015,279.7,2.36,0.0,0
18476,2026-07-21,Paid Search,/about-us,8,7,0.5652,85.1,2.3,1.0,1
18865,2026-07-29,Organic Search,/about-us,21,18,0.4706,163.6,2.52,0.0,0
18347,2026-07-18,Social,/about-us,5,4,0.6975,10.0,1.32,0.0,0
13413,2026-04-10,Social,/product/backpacks,16,14,0.6023,91.9,1.82,0.0,0
13630,2026-04-15,Organic Search,/product/running-shoes,41,35,0.4062,198.7,3.08,6.0,7
